MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
 1360000    -6.92       93  13.24      nan     nan    nan    nan   3.852  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -6.82       93  13.76      nan     nan    nan    nan   3.449  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -6.84       93  13.66      nan     nan    nan    nan   3.368  1.421        0     0     n    nan       0      1.00     1.00   +0.000     1   1.025
 1420000    -6.92       93  14.40      nan     nan    nan    nan   3.465  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -6.89       93  14.64      nan     nan    nan    nan   3.726  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -6.79       93  14.73      nan     nan    nan    nan   3.110  1.418        0     0     n    nan       0      1.00     1.00   +0.000     1   0.670
 1480000    -6.80       86  13.96      nan     nan    nan    nan   3.721  1.453        0     0     n    nan       0      1.00     1.00   +0.000     1   0.992
 1500000    -6.78       93  13.73      nan     nan    nan    nan   3.599  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -6.81       93  13.75      nan     nan    nan    nan   3.594  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.02       93  14.38      nan     nan    nan    nan   3.691  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -6.85       93  13.31      nan     nan    nan    nan   3.414  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -6.96       93  13.93      nan     nan    nan    nan   3.441  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -6.67       93  14.20      nan     nan    nan    nan   3.274  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
